#pub topic_size bss+data stack
1 1 856 1700
1 342 1304 1700
1 683 1984 1700
1 1025 2672 1700
1 1366 3352 1700
1 1707 4032 1700
1 2048 4720 1700
1 2390 5400 1700
1 2731 6080 1700
1 3072 6768 1700
5 1 872 1700
5 342 1320 1700
5 683 2000 1700
5 1025 2688 1700
5 1366 3368 1700
5 1707 4048 1740
5 2048 4736 1700
5 2390 5416 1700
5 2731 6096 1700
5 3072 6784 1700
10 1 896 1700
10 342 1344 1700
10 683 2024 1740
10 1025 2712 1740
10 1366 3392 1700
10 1707 4072 1780
10 2048 4752 1740
10 2390 5440 1700
10 2731 6120 1700
10 3072 6800 1700
20 1 936 1780
20 342 1384 1780
20 683 2064 1780
20 1025 2752 1780
20 1366 3432 1700
20 1707 4112 1780
20 2048 4792 1700
20 2390 5480 1780
20 2731 6160 1780
20 3072 6840 1700
