#pub topic_size bss+data stack
1 1 2896 1700
1 342 2896 1700
1 683 3520 1700
1 1025 4208 1700
1 1366 4888 1700
1 1707 5568 1700
1 2048 6256 1700
1 2390 6936 1700
1 2731 7616 1700
1 3072 8304 1700
5 1 2912 1700
5 342 2912 1700
5 683 3536 1700
5 1025 4224 1700
5 1366 4904 1700
5 1707 5584 1700
5 2048 6272 1780
5 2390 6952 1780
5 2731 7632 1700
5 3072 8320 1700
10 1 2928 1700
10 342 2928 1700
10 683 3560 1700
10 1025 4248 1780
10 1366 4928 1780
10 1707 5608 1780
10 2048 6288 1700
10 2390 6976 1700
10 2731 7656 1780
10 3072 8336 1700
20 1 2968 1804
20 342 2968 1780
20 683 3600 1700
20 1025 4288 1700
20 1366 4968 1700
20 1707 5648 1804
20 2048 6328 1700
20 2390 7016 1700
20 2731 7696 1780
20 3072 8376 1804
